ID,type,DesignData_ID,Roughness,工步_ID
1,槽,1,0.8,N33
2,槽,2,0.8,N33
3,槽,3,0.8,N33
4,槽,4,0.8,N33
5,通孔,5,1.6,N20;N21;N22;N23
6,通孔,6,1.6,N20;N21;N22;N23
7,端面,,1.6,N17;N24
8,圆面,7,1.6,N1
9,端面,,0.8,N4;N7;N9
10,圆角,,1.6,N4;N7;N9
11,圆面,8,,N4;N7;N9
12,圆角,9;10,1.6,N4;N7;N9
13,倒角,11,1.6,N4;N7;N9
14,圆面,12,1.6,N30;N31
15,端面,,0.8,N30;N31
16,锥面,13;14;15,0.4,N30;N31
17,圆角,16;17,,N30;N31
18,圆面,18,,N30;N31
19,端面,,,N25;N26
20,喇叭槽,19;20,0.4,N27;N28;N29
21,锥孔,21;22;23,0.4,N12
22,圆角,24;25,0.4,N11
23,倒角,,,N11
24,内孔,26,,N5;N6;N10;N11
25,斜孔,,,
26,斜孔,,,
