ID,feed,rotate,depth
1,0.05,3000,0.5
2,20,10000,0.1
3,20,25000,0.25
4,0.02,1000,
5,0.03,600,0.1
6,20,1000,1
7,0.05,4000,
8,16,8000,0.5
9,15,8000,0.1
10,20,8000,0.1
11,0.015,4000,0.1
12,20,20000,0.1
13,20,6000,0.1
14,20,6000,0.1
15,20,6000,0.1
16,20,6000,0.1
17,10,8000,0.6
18,10,5000,0.1
19,0.01,2000,0.1
20,20,1000,0.1
21,20,10000,0.3
22,20,10000,0.325
23,10,5000,0.1
24,0.03,8000,0.1
25,0.02,10000,
26,0.005,3000,0.1
27,0.003,2500,0.1
28,10,2500,0.1
29,0.02,25000,0.1
30,0.006,3000,0.1
31,20,4000,0.1
32,0.03,2000,0.1
33,10,3000,0.1
34,0.01,25000,0.1
35,,20000,0.1
